;Date;Type;Country;Injury
697;10-Mar-2013;Unprovoked;AUSTRALIA;Laceration to left hand
698;10-Mar-2013;Unprovoked;PHILIPPINES;Minor leg injuries
699;03-Mar-2013;Unprovoked;SOUTH AFRICA;Injuries to arms & hands
700;27-Feb-2013;Unprovoked;NEW ZEALAND;FATAL
701;21-Feb-2013;Unprovoked;USA;Lacerations to right leg
702;21-Feb-2013;Unprovoked;USA;No injury, shark bit rail of foam board
703;10-Feb-2013;Unprovoked;USA;Lacerations to right hand
704;09-Feb-2013;Unprovoked;FRENCH POLYNESIA;Lacerations to right arm & thigh
705;01-Feb-2013;Unprovoked;JAMAICA;Knee bitten
706;26-Jan-2013;Boat;AUSTRALIA;No injury to occupants, shark bit propeller
707;25-Jan-2013;Unprovoked;AUSTRALIA;Lacerations to neck
708;Reported 21-Jan-2013;Invalid;AUSTRALIA;No injury, a 3 m blue shark merely snapped at the man.
709;16-Jan-2013;Unprovoked;USA;Left forearm bitten 
710;13-Jan-2013;Unprovoked;NEW ZEALAND;Minor cut on finger
711;05-Jan-2013;Unprovoked;AUSTRALIA;Calf & shin bitten 
712;31-Dec-2012;Unprovoked;USA;Lower leg or ankle bitten
713;30-Dec-2012;Unprovoked;AUSTRALIA;No injury, chunk missing from surfboard
714;28-Dec-2012;Unprovoked;AUSTRALIA;Lacerations to thigh and hand
715;25-Dec-2012;Unprovoked;SOUTH AFRICA;FATAL
716;19-Dec-2012;Unprovoked;AUSTRALIA;No injury
717;05-Dec-2012;Unprovoked;USA;Lacerations to left foot
718;02-Dec-2012;Unprovoked;AUSTRALIA;Minor puncture wounds to knee
719;December 2012;Unprovoked;NEW ZEALAND;No injury, shark grabbed hood
720;30-Nov-2012;Unprovoked;USA;Lacerations to thigh & lower left leg
721;27-Nov-2012;Invalid;AUSTRALIA;Injury to ankle caused  by a stingray, not a shark
722;22-Nov-2012;Unprovoked;MEXICO;FATAL
723;19-Nov-2012;Unprovoked;USA;Minor lacerations to left foot & heel
724;04-Nov-2012;Unprovoked;USA;Right lower leg and foot bitten
725;04-Nov-2012;Unprovoked;USA;No injury, surfboard bitten
726;30-Oct-2012;Unprovoked;USA;Multiple lacerations to torso
727;27-Oct-2012;Unprovoked;USA;Puncture wounds to thigh, defense wounds  to hand
728;23-Oct-2012;Unprovoked;USA;FATAL
729;19-Oct-2012;Unprovoked;USA;Left calf bitten
730;18-Oct-2012;Unprovoked;USA;Minor bite to ankle
731;18-Oct-2012;Unprovoked;USA;No injury, board bitten
732;16-Oct-2012;Invalid;USA;Laceration to toe
733;Reported 11-Oct-2012;Unprovoked;NIGERIA;Laceration to right leg
734;10-Oct-2012;Unprovoked;USA;No ijnury to boardrider, shark struck board breaking the mast
735;02-Oct-2012;Unprovoked;AUSTRALIA;No injury, but swim fin bitten & torn
736;25-Sep-2012;Unprovoked;USA;Lacerations to left forearm
737;24-Sep-2012;Unprovoked;USA;Left foot bitten
738;16-Sep-2012;Unprovoked;USA;Foot bitten
739;10-Sep-2012;Unprovoked;TONGA;Injuries to thighs & buttocks
740;09-Sep-2012;Unprovoked;USA;Minor injury to elbow
741;08-Sep-2012;Unprovoked;USA;Right foot bitten
742;08-Sep-2012;Unprovoked;USA;Lacerations to right calf
743;06-Sep-2012;Unprovoked;USA;Right calf bitten
744;06-Sep-2012;Unprovoked;USA;Lacerations to foot
745;04-Sep-2012;Unprovoked;USA;Puncture wounds to hand
746;02-Sep-2012;Unprovoked;USA;Puncture wounds to calf and hand
747;02-Sep-2012;Provoked;USA;Minor laceration to hand  PROVOKED INCIDENT
748;02-Sep-2012;Unprovoked;USA;Puncture wound to left ankle
749;31-Aug-2012;Provoked;SCOTLAND;No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT
750;28-Aug-2012;Unprovoked;AUSTRALIA;Lacerations to torso and arm
751;26-Aug-2012;Unprovoked;BRAZIL;FATAL
752;15-Aug-2012;Unprovoked;USA;Lacerations to leg
753;11-Aug-2012;Boating;AUSTRALIA;No injury, shark grabbed outboard motor
754;08-Aug-2012;Unprovoked;USA;Lacerations to little finger of left hand
755;06-Aug-2012;Unprovoked;REUNION;Right hand and foot severed
756;04-Aug-2012;Unprovoked;FRENCH POLYNESIA;Shoulder bitten
757;31-Jul-2012;Unprovoked;USA;No injury, surfer knocked off board when shark struck surfboard
758;31-Jul-2012;Unprovoked;AUSTRALIA;Lacerations to torso & arm
759;30-Jul-2012;Unprovoked;USA;Left foot bitten
760;30-Jul-2012;Unprovoked;USA;Lacerations to both legs below the knees
761;24-Jul-2012;Invalid;USA;Shark involvement unconfirmed
762;23-Jul-2012;Unprovoked;REUNION;FATAL
763;21-Jul-2012;Invalid;TRINIDAD & TOBAGO;Probable drowning with post-mortem bite
764;19-Jul-2012;Invalid;CANADA;Lacerations to 2 fingers, but shark involvement unconfirmed
765;14-Jul-2012;Unprovoked;AUSTRALIA;FATAL
766;08-Jul-2012;Unprovoked;USA;Lacerations to right ankle and calf
767;07-July-2012;Unprovoked;BAHAMAS;Lacerations to right leg
768;07-Jul-2012;Invalid;AUSTRALIA;Cause of death was drowning & preceded shark involvement
769;07-Jul-2012;Boating;USA;No injury, kayak bitten
770;06-Jul-2012;Unprovoked;SOUTH AFRICA;Lacerattions to left thigh & knee
771;Reported 28-Jun-2012;Invalid;CROATIA;Leg struck. Initally reported as a shark attack, but involved a swordfish
772;26-Jun-2012;Unprovoked;USA;Thigh bitten
773;26-Jun-2012;Unprovoked;USA;Nip to left foot
774;26-Jun-2012;Unprovoked;USA;Laceration to left calf
775;22-Jun-2012;Unprovoked;AUSTRALIA;Knocked off board, shark bit nose off surfboard
776;22-Jun-2012;Unprovoked;USA;Minor injury
777;20-Jun-2012;Unprovoked;AUSTRALIA;No injury, ski severely damaged
778;19-Jun-2012;Invalid;USA;Laceration to foot. Injured by a stingray, not a shark
779;18-Jun-2012;Unprovoked;USA;Numerous puncture wounds to leg 
780;15-Jun-2012;Provoked;USA;Superficial injury to calf by hooked shark PROVOKED ACCIDENT
781;14-Jun-2012;Unprovoked;USA;Foot & hand bitten
782;14-Jun-2012;Unprovoked;USA;Minor injury
783;14-Jun-2012;Unprovoked;USA;Calf bitten
784;14-Jun-2012;Unprovoked;USA;Laceration to right foot
785;12-Jun-2012;Unprovoked;AUSTRALIA;Laceration to right foot
786;10-Jun-2012;Provoked;ITALY;Lower left leg injured PROVOKED ACCIDENT
787;03-Jun-2012;Unprovoked;AUSTRALIA;No injury, ski bitten
788;02-Jun-2012;Unprovoked;USA;Laceration to thigh
789;02-Jun-2012;Unprovoked;USA;Severe laceration to foot
790;31-May-2012;Unprovoked;USA;Foot bitten
791;29-May-2012;Unprovoked;MEXICO;Left hand severed
792;23-May-2012;Unprovoked;USA;Lacerations to foot
793;20-May-2012;Boating;USA;No injury, teethmarks in kayak
794;16-May-2012;Unprovoked;FIJI;Lacerations to head
795;12-May-2012;Boating;USA;No injury, kayaker fell in the water when kayak bitten by a shark
796;09-May-2012;Unprovoked;USA;Upper left thigh bitten
797;06-May-2012;Unprovoked;USA;No injury, shark bit paddleboard
798;19-Apr-2012;Unprovoked;USA;Lacerations to hand
799;19-Apr-2012;Unprovoked;SOUTH AFRICA;FATAL
800;11-Apr-2012;Boating;AUSTRALIA;Minor wound to his thigh when shark bit kayak
801;03-Apr-2012;Unprovoked;USA;Lacerations to left foot
802;Apr-2013;Unprovoked;USA;Right shin bitten
803;31-Mar-2012;Unprovoked;AUSTRALIA;FATAL
804;24-Mar-2012;Unprovoked;USA;Minor lacerations to foot
805;22-Mar-2012;Boating;AUSTRALIA;No injury to occupants. Shark bit propelle, rope & crayfish float
806;20-Mar-2012;Unprovoked;AUSTRALIA;Lacerations to left calf
807;15-Mar-2012;Unprovoked;USA;Left forearm bitten
808;14-Mar-2012;Unprovoked;USA;Bitten on ankle
809;14-Mar-2012;Unprovoked;USA;Bitten on calf
810;06-Mar-2012;Unprovoked;NEW ZEALAND;Lacerations to left calf
811;06-Mar-2012;Provoked;AUSTRALIA;Superficial lacerations to right side of face PROVOKED ACCIDENT
812;05-Mar-2012;Unprovoked;REUNION;No injury, board bitten
813;04-Mar-2012;Unprovoked;USA;Lacerations to left calf
814;03-Mar-2012;Invalid;SAUDI ARABIA;Harassed by sharks but not injured by them
815;01-Mar-2012;Provoked;CHILE;Hand injured PROVOKED INCIDENT
816;26-Feb-2012;Provoked;USA;Laceration to right foot when he struck a shark PROVOKED INCIDENT
817;25-Feb-2012;Unprovoked;AUSTRALIA;Laceration to left foot
818;20-Feb-2012;Boat;SOUTH AFRICA;No injury to occupants, boat damaged
819;06-Feb-2012;Unprovoked;AUSTRALIA;No injury, but fin lost from surfboard
820;27-Jan-2012;Unprovoked;USA;No injury, shark bit swim fin
821;19-Jan-2012;Unprovoked;AUSTRALIA;Lacerations to right forearm
822;Reported 22-Jan-2012;Unprovoked;BAHAMAS;No injury, shark grabbed his camera
823;18-Jan-2012;Provoked;TAIWAN;Bitten on left thigh     PROVOKED ACCIDENT
824;18-Jan-2012;Unprovoked;AUSTRALIA;Lacerations to thigh
825;15-Jan-2012;Unprovoked;SOUTH AFRICA;FATAL
826;13-Jan-2012;Unprovoked;USA;No injury, surfboard damaged
827;03-Jan-2012;Unprovoked;AUSTRALIA;Right forearm and wrist injured
828;02-Jan-2012;Unprovoked;AUSTRALIA;No injury, punctures to swim fin
829;31-Dec-2011;Unprovoked;USA;Hand injured
830;Reported 26-Dec-2011;Invalid;ANTIGUA;Bitten on right hand & wrist
831;25-Dec-2011;Unprovoked;ECUADOR;Lacerations to left thigh and calf
832;23-Dec-2011;Unprovoked;USA;Laceration to ankle
833;21-Dec-2011;Provoked;USA;No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT
834;21-Dec-2011;Boating;SOUTH AFRICA;No injury but kayak dented
835;11-Dec-2011;Unprovoked;AUSTRALIA;5 puncture wounds to thigh
836;07-Dec-2011;Invalid;SOUTH AFRICA;No injury, ski damaged
837;07-Dec-2011;Unprovoked;AUSTRALIA;Minor injuries to left leg 
838;06-Dec-2011;Unprovoked;USA;Minor injury to calf 
839;05-Dec-2011;Invalid;AUSTRALIA;Killed by a shark or crocodile.
840;02-Dec-2011;Unprovoked;AUSTRALIA;Torn shoulder ligament as result of collision with shark
841;29-Nov-2011;Unprovoked;INDONESIA;Lacerations to right hand
842;28-Nov-2011;Unprovoked;AUSTRALIA;Puncture marks to foot
843;22-Nov-2011;Boating;USA;No injury, kayak bitten
844;Reported 20-Nov-2011;Unprovoked;PAPUA NEW GUINEA;No injury, shark collided with diver
845;12-Nov-2011;Unprovoked;BRAZIL;Legs bitten
846;11-Nov-2011;Unprovoked;REUNION;Left foot bitten
847;  29-Oct-2011;Unprovoked;USA;Lacerations to right wrist, foream & neck
848;Reported 28-Oct-2011;Unprovoked;SCOTLAND;No injury, shark bumped leg & board. 
849;  29-Oct-2011;Provoked;SOUTH AFRICA;Arm bitten by captive shark PROVOKED INCIDENT
850;22-Oct-2011;Unprovoked;AUSTRALIA;FATAL
851;20-Oct-2011;Unprovoked;USA;No injury, shark bit surfboard
852;19-Oct-2011;Unprovoked;AUSTRALIA;Small bruise to calf
853;11-Oct-2011;Unprovoked;USA;Foot bitten
854;10-Oct-2011;Unprovoked;USA;No injury
855;09-Oct-2011;Unprovoked;AUSTRALIA;FATAL
856;05-Oct-2011;Boating;REUNION;No injury to occupant
857;02-Oct-2011;Unprovoked;USA;Minor injury to thigh
858;01-Oct-2011;Unprovoked;USA;Lacerations to right wrist and middle finger
859;30-Sep-2011;Invalid;USA;Lacerations to lower right leg 
860;28-Sep-2011;Provoked;DOMINICAN REPUBLIC;Severe injuries to left arm PROVOKED INCIDENT
861;28-Sep-2011;Unprovoked;SOUTH AFRICA;Right leg severed, left leg lacerated
862;24-Sep-2011;Unprovoked;USA;Laceration to left thigh
863;24-Sep-2011;Unprovoked;USA;Laceration to left thigh
864;20-Sep-2011;Boat;USA;No injury, canoe bitten by shark
865;19-Sep-2011;Unprovoked;REUNION;FATAL
866;17-Sep-2011;Unprovoked;KENYA;FATAL
867;16-Sep-2011;Unprovoked;USA;Lacerations to arm
868;11-Sep-2011;Unprovoked;USA;No injury, board bitten
869;11-Sep-2011;Unprovoked;PAPUA NEW GUINEA;Lacerations to right leg
870;04-Sep-2011;Unprovoked;USA;No injury, shark bit surfboard
871;04-Sep-2011;Unprovoked;AUSTRALIA;FATAL
872;02-Sep-2011;Unprovoked;USA;Lacerations to ankle & foot
873;31-Aug-2011;Unprovoked;USA;Lacerations to lower leg
874;28-Aug-2011;Invalid;AUSTRALIA;FATAL
875;28-Aug-2011;Unprovoked;USA;Lacerations to anterior left shin, abrasion to posteior right leg
876;26-Aug-2011;Unprovoked;RUSSIA;Superficial laceration to shoulder
877;24-Aug-2011 ;Unprovoked;USA;Lacerations to foot
878;24-Aug-2011 ;Unprovoked;USA;Heel bitten
879;23-Aug-2011;Unprovoked;SOUTH AFRICA;FATAL
880;18-Aug-2011;Unprovoked;RUSSIA;Lacerations to hip, thigh and knee
881;17-Aug-2011;Unprovoked;USA;Lacerations to foot
882;17-Aug-2011;Invalid;USA;Abrasions to left hand
883;17-Aug-2011;Unprovoked;RUSSIA;Hands severed
884;16-Aug-2011;Unprovoked;FRENCH POLYNESIA;No injury, board bitten
885;16-Aug--2011;Unprovoked;USA;Lacerations to  lower right leg and foot
886;16-Aug-2011;Unprovoked;SEYCHELLES;FATAL
887;15-Aug-2011;Invalid;USA;Puncture wounds to foot
888;11-Aug--2011;Unprovoked;USA;Lower right leg bitten
889;01-Aug-2011;Unprovoked;SEYCHELLES;FATAL
890;31-Jul-2011;Invalid;BRAZIL;"Cause of death may have been drowning; remains scavenged by sharks"
891;30-Jul-2011;Sea Disaster;PHILIPPINES;The two Malabagos were bitten by sharks but survived. The other occupants of the boat  were rescued.
892;25-Jul-2011;Unprovoked;USA;No injury, shark bit boot
893;22-Jul-2011;Unprovoked;SOUTH AFRICA;Upper left arm & right leg bitten
894;19-Jul-2011;Unprovoked;USA;Lower right leg & foot bitten
895;15-Jul-2011;Boating;REUNION;No injury
896;13-Jul-2011;Unprovoked;USA;Lacerations to left foot
897;13-Jul-2011;Unprovoked;BAHAMAS;Injuries to arm
898;07-Jul-2011;Unprovoked;USA;Foot bitten
899;07-Jul-2011;Unprovoked;USA;Lacerations to right foot
900;06-Jul-2011;Unprovoked;REUNION;Minor injuries: scratches on nose & ankle. Board broken in two
901;05-Jul-2011;Unprovoked;COLUMBIA;Right arm bitten, defense wounds to left hand
902;30-Jun-2011;Unprovoked;TURKS & CAICOS;Lacerations to left shoulder and back
903;29-Jun-2011;Unprovoked;BRAZIL;Lacerations to right thigh
904;28-Jun-2011;Unprovoked;SOUTH AFRICA;Severe lacerations to hands and  left leg
905;26-Jun-2008;Unprovoked;USA;Ankle bitten
906;24-Jun-2011;Unprovoked;USA;"Shark leapt onto surfboard; surfer uninjured "
907;21-Jun-2011;Unprovoked;USA;Lacerations to foot and ankle
908;19-Jun-2011;Unprovoked;TURKS & CAICOS;Right calf bitten
909;19-Jun-2011;Unprovoked;COSTA RICA;FATAL
910;15-Jun-2011;Unprovoked;REUNION;FATAL
911;Reported 14-Jun-2011;Boating;UNITED KINGDOM;No injury, shark slammed into boat
912;12-Jun-2011;Unprovoked;USA;Lacerations to right calf
913;Reported 06-Jun-2011;Unprovoked;COLUMBIA;Injuries to right hand and forearm
914;06-Jun-2011;Unprovoked;USA;No injury, minor damage to wetsuit
915;06-Jun-2011;Unprovoked;USA;Puncture wound to calf
916;01-Jun-2011;Unprovoked;MALAYSIA;Laceration to dorsum of right foot
917;30-May-2011;Unprovoked;USA;Lacerations & punctures to right thigh 
918;29-May-2011;Unprovoked;SOUTH AFRICA;No injury, board bumped by shark
919;25-May-2011;Unprovoked;USA;No injury, board bitten
920;22-May-2011;Unprovoked;USA;No injury, board bitten
921;21-May-2011;Unprovoked;SOUTH AFRICA;Thigh bitten, FATAL
922;13-May-2011;Unprovoked;USA;Lacerations to left foot & ankle
923;21-May-2011;Unprovoked;NEW CALEDONIA;Thigh bitten, FATAL
924;13-May-2011;Unprovoked;USA;"Minor injury; puncture wounds to calf"
925;10-May-2011;Provoked;USA;Laceration to arm by captive shark PROVOKED INCIDENT
926;Reported 07-May-2011;Invalid;UNITED ARAB EMIRATES (UAE);"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8', 300-kg mako shark that was attacked, not the fisherman"
927;04-May-2011;Unprovoked;SOUTH AFRICA;Calf bitten
928;26-Apr-2011;Unprovoked;USA;Calf bitten
929;23-Apr-2011;Unprovoked;AUSTRALIA;Heel bitten
930;22-Apr-2011;Unprovoked;USA;Minor puncture wounds
931;16-Apr-2011;Unprovoked;NEW ZEALAND;Puncture to left hand
932;13-Apr-2011;Unprovoked;INDONESIA;Lacerations to forearm
933;08-Apr-2011;Unprovoked;FIJI;Minor injuries to left leg and hand
934;Reported 29-Mar-2011;Provoked;USA;Minor laceration to shoulder from captive shark PROVOKED INCIDENT
935;24-Mar-2011;Unprovoked;MEXICO;Lower leg & foot bitten
936;23-Mar-2011;Unprovoked;AUSTRALIA;Severe injury to left forearm
937;21-Mar-2011;Unprovoked;MEXICO;Right foot bitten
938;21-Mar-2011;Unprovoked;FIJI;Left forearm severely bitten, surgically amputated
939;16-Mar-2011;Unprovoked;AUSTRALIA;Severe injuries to head, neck, shoulder & upper left arm
940;Reported 10-Mar-2010;Invalid;EGYPT;Apparent drowning, and subsequent scavenging by 16' tiger shark
941;10-Mar-2011;Unprovoked;AUSTRALIA;No injury, surboard broken
942;Reported 28-Feb-2011;Provoked;AUSTRALIA;Lacerations to right hand by hooked shark PROVOKED INCIDENT
943;23-Feb-2011;Unprovoked;NEW CALEDONIA;Lacerations to left forearm
944;18-Feb-2011;Unprovoked;REUNION;Left leg severed at the knee
945;17-Feb-2011;Unprovoked;AUSTRALIA;FATAL
946;13-Feb-2011;Provoked;AUSTRALIA;Lacerations to calf by hooked shark PROVOKED INCIDENT
947;12-Feb-2011;Unprovoked;AUSTRALIA;Arm bitten
948;Reported 04-Feb-2011;Provoked;MEXICO;Left foot bitten PROVOKED INCIDENT
949;02-Feb-2011;Unprovoked;SOUTH AFRICA;Right leg bitten
950;31-Jan-2011;Unprovoked;MEXICO;Leg, forearm & hand severely bitten
951;28-Jan-2011;Provoked;MEXICO;Left eg bitten PROVOKED INCIDENT
952;26-Jan-2011;Unprovoked;BAHAMAS;Arm bitten 
953;20-Jan-2011;Invalid;AUSTRALIA;Lacerations to both legs
954;15-Jan-2011;Unprovoked;SOUTH AFRICA;FATAL
955;Reported 12-Jan 2011;Unprovoked;MEXICO;Bitten on leg and groin
956;03-Jan-2011;Boat;AUSTRALIA;No injury, shark nudged boat and bit propeller
957;26-Dec-2010;Unprovoked;USA;Lacerations to his lower left leg, calf, foot & ankle
958;17-Dec-2010;Unprovoked;FIJI;Lacerations to  foot
959;11-Dec-2010;Unprovoked;USA;Lacerations to right foot
960;05-Dec-2010;Unprovoked;EGYPT;FATAL
961;Reported 03-Dec-2010;Unprovoked;INDONESIA;Lacerations to right hand
962;01-Dec-2010;Unprovoked;EGYPT;Both arms severely bitten
963;01-Dec-2010;Unprovoked;EGYPT;Lacerations to right leg
964;30-Nov-2010;Unprovoked;EGYPT;Foot severed, Right forearm severed, lacerations to left hand (defense wounds)
965;30-Nov-2010;Unprovoked;EGYPT;Foot and arm bitten
966;Reported 27-Nov-2010;Unprovoked;SAMOA;Serious wounds to chest
967;27-Nov-2010;Invalid;AUSTRALIA;Death may have been due to drowning
968;19-Nov-2010;Provoked;USA;Head bitten by netted shark PROVOKED INCIDENT
969;15-Nov-2010;Unprovoked;DOMINICAN REPUBLIC;FATAL
970;14-Nov-2010;Unprovoked;INDONESIA;Hand bitten 
971;Reported 12-Nov-2010;Boat;AUSTRALIA;No injury to occupant. Shark rammed bottom of the boat
972;30-Oct-2010;Unprovoked;AUSTRALIA;Torso and left buttock bitten
973;Reported 28-Oct-2010;Unprovoked;AUSTRALIA;No injury, shark head-butted diver's thigh
974;28-Oct-2010;Unprovoked;USA;No injury to surfer
975;25-Oct-2010;Provoked;AZORES;PROVOKED INCIDENT?  
976;23-Oct-2010;Unprovoked;USA;No injury to diver, shark bit his video camera
977;23-Oct-2010;Unprovoked;AUSTRALIA;Lacerations to lower right leg
978;22-Oct-2010;Unprovoked;USA;FATAL
979;20-Oct-2010;Unprovoked;EGYPT;Multiple lacerations to left leg and foot
980;09-Oct-2010;Unprovoked;AUSTRALIA;Foot bitten
981;02-Oct-2010;Unprovoked;BAHAMAS;Calf bitten
982;02-Oct-2010;Unprovoked;BAHAMAS;Bitten between left ankle & knee
983;01-Oct-2010;Unprovoked;SOUTH AFRICA;3 lacerations to foot
984;27-Sep-2010;Unprovoked;USA;No injury, surfboard rammed
985;24-Sep-2010;Unprovoked;USA;Bite to left ankle and knee
986;21-Sep-2010;Unprovoked;SOUTH AFRICA;FATAL
987; 13-Sep-2010;Unprovoked;AUSTRALIA;Lacerations and puncture wounds to leg and foot
988;07-Sep-2010;Unprovoked;USA;Lacerations to left wrist
989;Reported 06-Sep-2010;Unprovoked;TONGA;Puncture wounds to right foot
990; 04-Sep-2010;Unprovoked;USA;No injury, shark charged surfboard
991;03-Sep-2010;Unprovoked;USA;Lacerations to right  hand 
992;03-Sep-2010;Unprovoked;USA;Left thigh bitten
993;02-Sep-2010;Unprovoked;SOLOMON ISLANDS;Lacerations to face and neck
994;29-Aug-2010;Invalid;BAHAMAS;His partial remains were recovered from a 12' tiger shark on September 5, 2010. Cause of death was thought to be drowning
995;18-Aug-2010;Unprovoked;USA;Minor injuries to foot
996;17-Aug-2010;Unprovoked;AUSTRALIA;FATAL
997;14-Aug-2010;Boating;USA;No injury, kayak bitten
998;10-Aug-2010;Provoked;AUSTRALIA;Leg bitten by hooked shark PROVOKED INCIDENT
999;10-Aug-2010;Unprovoked;SOUTH KOREA;Lacerations to left lower leg
1000;08-Aug-2010;Unprovoked;AUSTRALIA;Left foot bitten
1001;07-Aug-2010;Unprovoked;USA;Left foot bitten
1002;07-Aug-2010;Unprovoked;MALTA;No injury, sail bitten
1003;05-Aug-2010;Invalid;USA;Minor abrasions to legs when she was lifted on the back of a large marine animal
1004;02-Aug-2010;Boating;USA;No injury, kayak bitten
1005;02-Aug-2010;Unprovoked;USA;Lacerations to forearm
1006;25-Jul-2010;Unprovoked;USA;Lacerations to right lower leg
1007;23-Jul-2010;Unprovoked;USA;Left foot bitten
1008;19-Jul-2010;Unprovoked;USA;Minor lacerations to left calf
1009;17-Jul-2010;Unprovoked;USA;Lacerations to right forearm
1010;17-Jul-2010;Unprovoked;USA;Minor lacerations to right foot
1011;16-Jul-2010;Provoked;SPAIN;Lacerations to left foot when he stepped on the shark PROVOKED INCIDENT
1012;16-Jul-2010;Unprovoked;USA;Leg bitten
1013;11-Jul-2010;Provoked;USA;Small laceration to forearm from netted shark  PROVOKED INCIDENT
1014;04-Jul-2010;Unprovoked;SOUTH AFRICA;Left leg bitten
1015;03-Jul-2010;Provoked;USA;Laceration to right bicep by hooked shark PROVOKED INCIDENT
1016;02-Jul-2010;Unprovoked;USA;Laceration to left foot
1017;02-Jul-2010;Unprovoked;USA;No injury, board bumped by shark
1018;27-Jun-2010;Unprovoked;USA;Lacerations to right foot
1019;25-Jun-2010;Unprovoked;USA;Laceration to leg
1020;25-Jun-2010;Unprovoked;USA;Laceration to left foot
1021;15-Jun-2010;Unprovoked;VIETNAM;Laceration to left foot
1022;10-Jun-2010;Unprovoked;USA;Lacerations to left calf and foot
1023;06-Jun-2010;Unprovoked;AUSTRALIA;Severe laceration to right knee
1024;Jun-2010;Unprovoked;USA;Lacerations to left foot
1025;30-May-2010;Provoked;USA;Laceration to left calf by hooked shark PROVOKED INCIDENT
1026;18-May-2010;Unprovoked;VIETNAM;Minor laceration to leg
1027;18-May-2010;Unprovoked;VIETNAM;Severe lacerations to left foot
1028;18-May-2010;Unprovoked;AUSTRALIA;Superficial lacerations to lower left leg
1029;03-May-2010;Unprovoked;MADAGASCAR;Lacerations to arm & chest
1030;01-May-2010;Unprovoked;USA;Minor puncture wounds to right ankle
1031;28-Apr-2010;Provoked;USA;Arm bitten PROVOKED INCIDENT 
1032;19-Apr-2010;Unprovoked;USA;No injury, surfboard bitten
1033;13-Apr-2010;Unprovoked;SOUTH AFRICA;Both feet bitten
1034;04-Apr-2010;Unprovoked;EGYPT;Lacerations to left ankle and foot
1035; 27-Mar-2010;Unprovoked;REUNION;No injury, board bitten
1036;190Feb-2010;Unprovoked;NEW ZEALAND;Bruised but otherwise unhurt
1037;16-Feb-2010;Unprovoked;SOUTH AFRICA;Lacerations to right leg
1038;15-Feb-2010;Unprovoked;FIJI;FATAL
1039;13-Feb-2010;Unprovoked;AUSTRALIA;Lacerations to legs & buttocks
1040;11-Feb-2010;Unprovoked;AUSTRALIA;Minor injury, lacerations to left lower leg
1041;Reported 06-Feb-2010;Provoked;NEW ZEALAND;No injury, shark bit his speargun after he used it to prod the shark PROVOKED INCIDENT
1042;06-Feb-2010;Unprovoked;AUSTRALIA;No injury, shark & board collided
1043;06-Feb-2010;Provoked;USA;Leg bitten while trying to free a hooked shark PROVOKED INCIDENT
1044;04-Feb-2010;Invalid;GUAM;Shark bites were post-mortem
1045;03-Feb-2010;Unprovoked;USA;FATAL
1046;01-Feb-2010;Provoked;NEW ZEALAND;Stepped on shark PROVOKED INCIDENT
1047;31-Jan-2010;Unprovoked;BRAZIL;Foot bitten
1048;27-Jan-2010;Unprovoked;AUSTRALIA;No injury, surfboard bitten
1049;22-Jan-2010;Unprovoked;UNITED ARAB EMIRATES (UAE);Laceration to bottom of foot
1050;22-Jan-2010;Unprovoked;AUSTRALIA;Lacerations to right hand 
1051;12-Jan-2010;Unprovoked;SOUTH AFRICA;FATAL
1052;09-Jan-2010;Unprovoked;AUSTRALIA;2 sets of minor lacerations below her right knee
1053;09-Jan-2010;Unprovoked;VIETNAM;Minor injuries
1054;09-Jan-2010;Unprovoked;VIETNAM;Right wrist bitten
1055;09-Jan-2010;Unprovoked;VIETNAM;Left arm bitten twice
1056;06-Jan-2010;Unprovoked;USA;Lacerations to  arm
1057;05-Jan-2010;Unprovoked;SOUTH AFRICA;No injury, reportedly knocked of his board by a shark
1058;29-Dec-2009;Unprovoked;SOUTH AFRICA;Lacerations to  left foot
1059;26-Dec-2009;Provoked;AUSTRALIA;Lacerations to lower left leg after stepping on the shark                 PROVOKED INCIDENT
1060;22-Dec-2009;Unprovoked;MOZAMBIQUE;Multiple lacerations to right torso & arm. Defense wounds on  hands
1061;20-Dec-2009;Boating;AUSTRALIA;No injury to occupants, kayak bumped by shark
1062;20-Dec-2009;Unprovoked;AUSTRALIA;Lacerations to hand & forearm
1063;18-Dec-2009;Unprovoked;SOUTH AFRICA;FATAL
1064;18-Dec-2009;Invalid;SOUTH AFRICA;Minor lacerations to left leg. nitially reported as a shark bite, but involved a barracuda
1065;16-Dec-2009;Unprovoked;NEW ZEALAND;FATAL
1066;13-Dec-2009;Unprovoked;AUSTRALIA;Laceration to big toe
1067;12-Dec-2009;Boating;AUSTRALIA;"No injury to occupants; shark bit steering oar"
1068;05-Dec-2009;Provoked;USA;Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT
1069;25-Nov-2009;Invalid;USA;Puncture wounds to right foot
1070;24-Nov-2009;Unprovoked;USA;Left foot bitten
1071;16-Nov-2009;Unprovoked;USA;Puncture wounds and minor lacerations to dorsal surface of his left hand
1072;16-Nov-2009;Unprovoked;USA;Foot bitten
1073;13-Nov-2009;Unprovoked;USA;Foot bitten
1074;11-Nov-2009;Unprovoked;USA;Foot bitten
